#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	KEGG/ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
15402583	100779	100779	100779	PF13041,PF01535	PTHR24015					AT2G35030.1		Pentatricopeptide repeat (PPR) superfamily protein
15402596	100780	100780	100780	PF12697	PTHR10992,PTHR10992:SF766	KOG4178	3.3.2.10			AT3G51000.1		alpha/beta-Hydrolases superfamily protein
15402600	100785	100785	100785	PF01535	PTHR24015					AT2G35030.1		Pentatricopeptide repeat (PPR) superfamily protein
15402622	100790	100790	100790	PF13847	PTHR32183,PTHR32183:SF6		2.1.1.9			AT2G43910.1	ATHOL1,HOL1	HARMLESS TO OZONE LAYER 1
15402626	100795	100795	100795	PF13812,PF01535	PTHR24015					AT2G13600.1		Pentatricopeptide repeat (PPR) superfamily protein
15403207	100820	100820	100820	PF04030,PF01565	PTHR13878,PTHR13878:SF54	KOG4730	1.1.3.8,1.1.3.37		GO:0055114,GO:0016020,GO:0003885,GO:0050660,GO:0016491	AT2G46740.1		D-arabinono-1,4-lactone oxidase family protein
15403215	100825	100825	100825	PF12854,PF13041	PTHR24015			K17964		AT5G65560.1		Pentatricopeptide repeat (PPR) superfamily protein
15403241	100832	100832	100832	PF04450						AT2G15220.1		Plant basic secretory protein (BSP) family protein
15403317	100869	100869	100869	PF08263,PF12799,PF13855	PTHR27000	KOG4579	3.2.1.15		GO:0005515	AT3G12610.1	DRT100	Leucine-rich repeat (LRR) family protein
15403334	100874	100874	100874	PF00226	PTHR24078					AT2G17880.1		Chaperone DnaJ-domain superfamily protein
15403354	100881	100881	100881		PTHR33191,PTHR33191:SF6							
15403376	100893	100893	100893		PTHR33191,PTHR33191:SF6							
15403892	100903	100903	100903	PF17032	PTHR36718,PTHR36718:SF1					AT1G44414.1		
15403893	100906	100906	100906	PF00571,PF00654	PTHR11689,PTHR11689:SF91			K05016	GO:0055085,GO:0016020,GO:0006821,GO:0005247	AT5G49890.1	ATCLC-C,CLC-C	chloride channel C
15403894	100907	100907	100907	PF08477	PTHR11711,PTHR11711:SF168	KOG0070		K07977	GO:0007264,GO:0005525	AT3G03120.1	ARFB1C,ATARFB1C	ADP-ribosylation factor B1C
15403907	100915	100915	100915	PF01217	PTHR11043,PTHR11043:SF9					AT1G15370.1		SNARE-like superfamily protein
15403908	100916	100916	100916	PF00782,PF03919,PF01331	PTHR10367,PTHR10367:SF0	KOG2386	2.1.1.56	K13917	GO:0008138,GO:0006470,GO:0004484,GO:0006397,GO:0006370	AT3G09100.2		mRNA capping enzyme family protein
15403940	100921	100921	100921	PF04194	PTHR12298			K14801	GO:0005737	AT4G02220.1		zinc finger (MYND type) family protein / programmed cell death 2 C-terminal domain-containing protein
15403952	100929	100929	100929	PF13365	PTHR22939,PTHR22939:SF83	KOG1320	3.4.21.107			AT2G47940.1	DEGP2	DEGP protease 2
15403974	100938	100938	100938	PF13041,PF01535	PTHR24015					AT2G13600.1		Pentatricopeptide repeat (PPR) superfamily protein
15403999	100942	100942	100942	PF03639	PTHR31983,PTHR31983:SF0	KOG2254	3.2.1.39	K01180	GO:0052862,GO:0052861,GO:0016998	AT5G15870.1		glycosyl hydrolase family 81 protein
15404002	100946	100946	100946	PF02803,PF00108	PTHR18919,PTHR18919:SF110	KOG1390	2.3.1.9	K00626	GO:0016747,GO:0008152	AT5G47720.2		Thiolase family protein
15404004	100947	100947	100947	PF03083	PTHR10791	KOG1623		K15382		AT5G62850.1	AtVEX1	Nodulin MtN3 family protein
15404039	100958	100958	100958	PF07714	PTHR24056,PTHR24056:SF0		2.7.11.22,2.7.11.23	K02202	GO:0006468,GO:0004672	AT1G18040.1	AT;CDCKD;3,CAK2AT,CDKD1;3	cyclin-dependent kinase D1;3
15404084	100977	100977	100977	PF00664,PF00005	PTHR24221,PTHR24221:SF18		3.6.3.46	K05663	GO:0055085,GO:0042626,GO:0016021,GO:0006810,GO:0005524,GO:0016887	AT5G58270.1	ATATM3,ATM3,STA1	ABC transporter of the mitochondrion 3
15404097	100980	100980	100980	PF00166	PTHR10772,PTHR10772:SF0	KOG1641		K04078	GO:0006457,GO:0005737	AT5G20720.3	ATCPN21,CHCPN10,CPN10,CPN20,CPN21	chaperonin 20
15404100	100988	100988	100988	PF13855	PTHR27000	KOG4579	2.7.11.1		GO:0005515	AT5G23400.1		Leucine-rich repeat (LRR) family protein
15404115	100996	100996	100996	PF01619	PTHR13914,PTHR13914:SF0	KOG0186	1.5.5.2	K00318	GO:0006562,GO:0004657	AT5G38710.1		Methylenetetrahydrofolate reductase family protein
15417675	101	101	101	PF13812,PF13041,PF01535	PTHR24015					AT4G13650.1		Pentatricopeptide repeat (PPR) superfamily protein
15422275	101001	101001	101001	PF00654	PTHR11689,PTHR11689:SF77	KOG0475			GO:0055085,GO:0016020,GO:0006821,GO:0005247	AT4G35440.2	ATCLC-E,CLC-E,CLCE	chloride channel E
15422276	101002	101002	101002	PF00175	PTHR19384,PTHR19384:SF54		1.18.1.2	K02641	GO:0055114,GO:0016491	AT1G30510.2	ATRFNR2,RFNR2	root FNR 2
15422305	101011	101011	101011	PF07714	PTHR27003,PTHR27003:SF26	KOG1187	2.7.11.1		GO:0006468,GO:0004672	AT5G54590.2	CRLK1	Protein kinase superfamily protein
15422337	101022	101022	101022	PF13831,PF00856,PF13771	PTHR13793,PTHR13793:SF100		2.1.1.43		GO:0005515	AT2G31650.1	ATX1,SDG27	homologue of trithorax
15422338	101023	101023	101023	PF03141	PTHR10108,PTHR10108:SF720		2.1.1.163,2.1.1.201		GO:0008168	AT4G01240.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
15422339	101024	101024	101024	PF00188	PTHR10334	KOG3017		K13449		AT2G14610.1	ATPR1,PR 1,PR1	pathogenesis-related gene 1
15422389	101049	101049	101049		PTHR24221,PTHR24221:SF18		3.6.3.46			AT5G58270.1	ATATM3,ATM3,STA1	ABC transporter of the mitochondrion 3
15422411	101052	101052	101052	PF17047,PF00168	PTHR10774,PTHR10774:SF51				GO:0005515,GO:0006950,GO:0006355	AT3G61050.1	NTMC2T4,NTMC2TYPE4	Calcium-dependent lipid-binding (CaLB domain) family protein
15422413	101054	101054	101054	PF00179	PTHR24067,PTHR24067:SF59	KOG0417	6.3.2.19			AT5G50870.1	UBC27	ubiquitin-conjugating enzyme 27
15422415	101056	101056	101056	PF09835	PTHR35102					AT1G33490.1		
15422417	101058	101058	101058	PF12171,PF12756	PTHR13182,PTHR13182:SF8	KOG2785		K14816		AT4G31420.1		Zinc finger protein 622
15422442	101062	101062	101062	PF16752,PF07986	PTHR15139,PTHR15139:SF0	KOG2512			GO:0007023	AT4G39920.1	POR,TFC C	C-CAP/cofactor C-like domain-containing protein
15422446	101066	101066	101066	PF13812,PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15422464	101071	101071	101071	PF04073	PTHR30411,PTHR30411:SF4				GO:0002161	AT4G16510.1		YbaK/aminoacyl-tRNA synthetase-associated domain
15422465	101072	101072	101072	PF13679	PTHR12496,PTHR12496:SF0	KOG2651				AT1G16650.1		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
15422467	101073	101073	101073	PF16363	PTHR10366,PTHR10366:SF246	KOG1431	1.1.1.271	K02377		AT1G73250.1	ATFX,GER1	GDP-4-keto-6-deoxymannose-3,5-epimerase-4-reductase 1
15422469	101075	101075	101075	PF13041	PTHR24015					AT1G74580.1		Pentatricopeptide repeat (PPR) superfamily protein
15422530	101090	101090	101090	PF01095	PTHR31321		3.1.1.11	K01051	GO:0042545,GO:0030599,GO:0005618	AT5G19730.1		Pectin lyase-like superfamily protein
15422537	101093	101093	101093	PF14432,PF13041,PF01535	PTHR24015					AT4G13650.1		Pentatricopeptide repeat (PPR) superfamily protein
15422538	101095	101095	101095	PF00069	PTHR27002	KOG1187	2.7.11.1	K04733	GO:0006468,GO:0005524,GO:0004672	AT4G32300.1	SD2-5	S-domain-2 5
15423023	101100	101100	101100	PF00188	PTHR10334	KOG3017		K13449		AT2G14610.1	ATPR1,PR 1,PR1	pathogenesis-related gene 1
15423055	101113	101113	101113	PF00076,PF12872	PTHR24009				GO:0003676	AT2G05160.1		CCCH-type zinc fingerfamily protein with RNA-binding domain
15423060	101118	101118	101118	PF01095	PTHR31707		3.1.1.11	K01051	GO:0042545,GO:0030599,GO:0005618	AT5G53370.1	ATPMEPCRF,PMEPCRF	pectin methylesterase PCR fragment F
15423091	101122	101122	101122	PF12783,PF01369	PTHR10663,PTHR10663:SF131			K18443	GO:0032012,GO:0005086	AT1G13980.2	EMB30,GN,VAN7	sec7 domain-containing protein
15423120	101139	101139	101139	PF01794,PF08022,PF08414,PF08030	PTHR11972,PTHR11972:SF44		1.6.3.1	K13447	GO:0055114,GO:0016491,GO:0050664,GO:0004601	AT1G64060.1	ATRBOH F,ATRBOHF,RBOH F,RBOHAP108,RBOHF	respiratory burst oxidase protein F
15423130	101142	101142	101142	PF08240,PF00107	PTHR11695,PTHR11695:SF395	KOG0022	1.1.1.1		GO:0055114,GO:0016491,GO:0008270	AT5G43940.1	ADH2,ATGSNOR1,GSNOR,HOT5,PAR2	GroES-like zinc-binding dehydrogenase family protein
15423135	101148	101148	101148	PF00150	PTHR31451		3.2.1.78	K19355	GO:0005975,GO:0004553	AT4G28320.1		Glycosyl hydrolase superfamily protein
15419594	10115	10115	10115	PF08263,PF00560,PF13855	PTHR27000	KOG0472	2.7.11.1		GO:0005515	AT2G01950.1	BRL2,VH1	BRI1-like 2
15423181	101161	101161	101161	PF00658,PF00076	PTHR24012,PTHR24012:SF366	KOG0123		K13126	GO:0003723,GO:0003676	AT4G34110.1	ATPAB2,PAB2,PABP2	poly(A) binding protein 2
15423184	101166	101166	101166	PF14226,PF03171	PTHR10209	KOG0143	1.14.11.9		GO:0055114,GO:0016491	AT5G24530.1	DMR6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
15423186	101169	101169	101169	PF05627	PTHR33159					AT2G04410.1		RPM1-interacting protein 4 (RIN4) family protein
15423208	101176	101176	101176	PF02518,PF00512,PF00072	PTHR24423,PTHR24423:SF512	KOG0519	2.7.13.3		GO:0007165,GO:0000155,GO:0000160	AT5G35750.1	AHK2,HK2	histidine kinase 2
15423268	101192	101192	101192	PF07714	PTHR27001,PTHR27001:SF102	KOG1187	2.7.11.1	K04733	GO:0006468,GO:0004672	AT1G51940.1		protein kinase family protein / peptidoglycan-binding LysM domain-containing protein
15401551	101205	101205	101205	PF03000	PTHR32370,PTHR32370:SF25					AT3G22104.1		Phototropic-responsive NPH3 family protein
15401552	101207	101207	101207	PF03188,PF04526	PTHR23130,PTHR23130:SF80	KOG4293			GO:0016021	AT5G35735.1		Auxin-responsive family protein
15401578	101213	101213	101213	PF12143,PF12142,PF00264	PTHR11474,PTHR11474:SF33		1.14.99.47	K00422	GO:0055114,GO:0004097,GO:0016491,GO:0008152			
15401617	101237	101237	101237	PF03016	PTHR11062,PTHR11062:SF56	KOG1021				AT2G20370.1	KAM1,MUR3	Exostosin family protein
15401619	101239	101239	101239	PF14432,PF01535,PF13041	PTHR24015					AT2G27610.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15401638	101241	101241	101241	PF00135	PTHR23024	KOG1515	3.1.1.1			AT5G62180.1	AtCXE20,CXE20	carboxyesterase 20
15401640	101245	101245	101245	PF01535,PF13041	PTHR24015					AT2G13600.1		Pentatricopeptide repeat (PPR) superfamily protein
15401660	101250	101250	101250	PF14226,PF03171	PTHR10209	KOG0143	1.14.11.9		GO:0055114,GO:0016491	AT5G24530.1	DMR6	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
15401662	101253	101253	101253	PF00141	PTHR31388		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT5G05340.1		Peroxidase superfamily protein
15401663	101258	101258	101258	PF00141	PTHR31388		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT5G05340.1		Peroxidase superfamily protein
15401704	101271	101271	101271	PF07714	PTHR27003,PTHR27003:SF117	KOG1187	2.7.11.1		GO:0006468,GO:0004672	AT4G00330.1	CRCK2	calmodulin-binding receptor-like cytoplasmic kinase 2
15401706	101273	101273	101273	PF13639	PTHR14155				GO:0008270,GO:0005515	AT5G46650.1		RING/U-box superfamily protein
15401710	101278	101278	101278	PF04654	PTHR31881,PTHR31881:SF6					AT5G10580.1		Protein of unknown function, DUF599
15401778	101296	101296	101296	PF03219	PTHR31187,PTHR31187:SF3			K03301	GO:0016021,GO:0006810,GO:0005524,GO:0005471	AT1G80300.1	ATNTT1,NTT1	nucleotide transporter 1
15402313	101308	101308	101308	PF00571	PTHR11911					AT5G10860.1		Cystathionine beta-synthase (CBS) family protein
15402329	101316	101316	101316	PF13041,PF01535	PTHR24015					AT4G30700.1		Pentatricopeptide repeat (PPR) superfamily protein
15402361	101336	101336	101336	PF01535	PTHR24015					AT4G02750.1		Tetratricopeptide repeat (TPR)-like superfamily protein
15402365	101338	101338	101338	PF14510,PF08370,PF00005,PF01061	PTHR19241,PTHR19241:SF307		3.6.3.25		GO:0016887,GO:0005524,GO:0016020	AT1G66950.1	ATPDR11,PDR11	pleiotropic drug resistance 11
15402385	101343	101343	101343	PF13386	PTHR33876,PTHR33876:SF1					AT4G35080.3		high-affinity nickel-transport family protein
15402409	101351	101351	101351	PF01532	PTHR11742	KOG2204	3.2.1.113	K01230	GO:0016020,GO:0005509,GO:0004571	AT3G21160.1	MANIA,MNS2	alpha-mannosidase 2
15402411	101352	101352	101352	PF05057	PTHR12482,PTHR12482:SF11	KOG4372				AT1G29120.1		Hydrolase-like protein family
15402414	101359	101359	101359	PF07123	PTHR34552			K02721	GO:0015979,GO:0009523,GO:0009507	AT2G30570.1	PSBW	photosystem II reaction center W
15402437	101367	101367	101367	PF12624	PTHR22774,PTHR22774:SF11	KOG2955				AT3G20720.2		
15402458	101375	101375	101375	PF00076	PTHR24012,PTHR24012:SF332	KOG0146,KOG0131		K14411	GO:0003676	AT3G07810.2		RNA-binding (RRM/RBD/RNP motifs) family protein
15402460	101378	101378	101378	PF13301	PTHR34679,PTHR34679:SF2					AT3G61870.1		
15402483	101384	101384	101384	PF00141	PTHR31388,PTHR31388:SF24		1.11.1.7	K00430	GO:0055114,GO:0020037,GO:0006979,GO:0004601	AT3G49110.1	ATPCA,ATPRX33,PRX33,PRXCA	peroxidase CA
15402507	101391	101391	101391	PF05834	PTHR13789,PTHR13789:SF207		5.5.1.18	K06444	GO:0016705,GO:0016117	AT5G57030.1	LUT2	Lycopene beta/epsilon cyclase protein
15402509	101399	101399	101399		PTHR31096,PTHR31096:SF16					AT5G04740.1		ACT domain-containing protein
15419664	10140	10140	10140	PF00570,PF16124,PF00271,PF09382,PF00270	PTHR13710,PTHR13710:SF94	KOG0353	3.6.4.12	K10901	GO:0005622,GO:0003676,GO:0043140,GO:0006281,GO:0006260,GO:0005524	AT1G10930.1	ATRECQ4A,ATSGS1,RECQ4A	DNA helicase (RECQl4A)
15403026	101401	101401	101401	PF07386	PTHR34801,PTHR34801:SF1					AT3G60810.1		
15403027	101402	101402	101402	PF14432						AT2G22070.1		pentatricopeptide (PPR) repeat-containing protein
15403028	101407	101407	101407	PF04107	PTHR34378,PTHR34378:SF1		6.3.2.2	K01919	GO:0042398,GO:0004357	AT4G23100.1	ATECS1,CAD2,GSH1,GSHA,PAD2,RML1	glutamate-cysteine ligase
15403102	101436	101436	101436		PTHR36773					AT3G63390.1		
15403124	101447	101447	101447		PTHR35996,PTHR35996:SF1					AT1G28150.1		
15403137	101455	101455	101455	PF14432,PF01535	PTHR24015					AT3G12770.1	MEF22	mitochondrial editing factor  22
15403159	101464	101464	101464	PF00450	PTHR11802,PTHR11802:SF20		3.4.16.6	K16297	GO:0006508,GO:0004185	AT5G42240.1	scpl42	serine carboxypeptidase-like 42
15403161	101466	101466	101466	PF00188	PTHR10334	KOG3017		K13449		AT2G14610.1	ATPR1,PR 1,PR1	pathogenesis-related gene 1
15403188	101474	101474	101474	PF01535	PTHR24015					AT2G13600.1		Pentatricopeptide repeat (PPR) superfamily protein
15403189	101476	101476	101476	PF08263,PF13855	PTHR27000	KOG0472	2.7.11.1		GO:0005515	AT1G73066.1		Leucine-rich repeat family protein
15403218	101483	101483	101483	PF05686	PTHR12203		2.4.2.26	K13667		AT5G23850.1		Arabidopsis thaliana protein of unknown function (DUF821)
15403219	101484	101484	101484	PF00249	PTHR10641,PTHR10641:SF653					AT5G56110.1	AtMYB103,ATMYB80,MS188,MYB103	myb domain protein 103
15403220	101485	101485	101485	PF00132,PF06426	PTHR23416,PTHR23416:SF2	KOG4750	2.3.1.30	K00640	GO:0009001,GO:0006535,GO:0005737	AT5G56760.1	ATSERAT1;1,SAT-52,SAT5,SERAT1;1	serine acetyltransferase 1;1
15403223	101488	101488	101488	PF12937,PF00514	PTHR23315,PTHR23315:SF91	KOG1947			GO:0005515	AT2G44900.1	ARABIDILLO-1	ARABIDILLO-1
